DISKBUSY,Disk %Busy raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
DISKREAD,Disk Read KB/s raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
DISKWRITE,Disk Write KB/s raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
DISKXFER,Disk transfers per second raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
DISKBSIZE,Disk Block Size raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
DISKREAD,T0036,12492.0,0.0,12492.0
DISKWRITE,T0036,227.1,0.0,227.1
DISKXFER,T0036,745.2,0.0,745.2
DISKBSIZE,T0036,17.1,0.0,17.1
DISKBUSY,T0037,14.0,0.0,27.8
DISKREAD,T0037,5918.0,0.0,5918.0
DISKWRITE,T0037,114.4,0.0,114.4
DISKXFER,T0037,364.1,0.0,364.1
DISKBSIZE,T0037,16.6,0.0,16.6
DISKBUSY,T0038,7.4,0.0,9.8
DISKREAD,T0038,3127.8,0.0,3127.8
DISKWRITE,T0038,91.9,0.0,91.9
DISKXFER,T0038,201.6,0.0,201.6
DISKBSIZE,T0038,16.0,0.0,16.0
DISKBUSY,T0039,34.0,0.0,37.6
DISKREAD,T0039,18287.6,0.0,18287.6
DISKWRITE,T0039,24.0,0.0,24.0
DISKXFER,T0039,848.9,0.0,848.9
DISKBSIZE,T0039,21.6,0.0,21.6
DISKBUSY,T0040,40.6,0.0,42.8
DISKREAD,T0040,19764.7,0.0,19764.7
DISKWRITE,T0040,3.2,0.0,3.2
DISKXFER,T0040,1100.9,0.0,1100.9
DISKBSIZE,T0040,18.0,0.0,18.0
DISKBUSY,T0041,0.0,0.0,0.0
DISKREAD,T0041,1.6,0.0,1.6
DISKWRITE,T0041,5.6,0.0,5.6
DISKXFER,T0041,0.6,0.0,0.6
DISKBSIZE,T0041,12.0,0.0,12.0
DISKBUSY,T0042,0.0,0.0,0.2
DISKREAD,T0042,0.0,0.0,0.0
DISKWRITE,T0042,0.8,0.0,0.8
DISKXFER,T0042,0.2,0.0,0.2
DISKBSIZE,T0042,4.0,0.0,4.0
DISKBUSY,T0043,0.0,0.0,0.0
DISKREAD,T0043,0.0,0.0,0.0
DISKWRITE,T0043,3.2,0.0,3.2
DISKXFER,T0043,0.4,0.0,0.4
DISKBSIZE,T0043,8.0,0.0,8.0
DISKBUSY,T0044,0.4,0.0,0.2
DISKREAD,T0044,0.0,0.0,0.0
DISKWRITE,T0044,27.2,0.0,27.2
DISKXFER,T0044,3.2,0.0,3.2
DISKBSIZE,T0044,8.5,0.0,8.5
DISKBUSY,T0045,0.8,0.0,1.0
DISKREAD,T0045,0.0,0.0,0.0
DISKWRITE,T0045,100.0,0.0,100.0
DISKXFER,T0045,5.0,0.0,5.0
DISKBSIZE,T0045,20.0,0.0,20.0
DISKBUSY,T0046,0.4,0.0,0.2
DISKREAD,T0046,0.0,0.0,0.0
DISKWRITE,T0046,11.2,0.0,11.2
DISKXFER,T0046,2.2,0.0,2.2
DISKBSIZE,T0046,5.1,0.0,5.1
DISKBUSY,T0047,0.0,0.0,0.0
DISKREAD,T0047,0.0,0.0,0.0
DISKWRITE,T0047,1.6,0.0,1.6
DISKXFER,T0047,0.4,0.0,0.4
DISKBSIZE,T0047,4.0,0.0,4.0
DISKBUSY,T0048,0.0,0.0,0.2
DISKREAD,T0048,14.4,0.0,14.4
DISKWRITE,T0048,5.6,0.0,5.6
DISKXFER,T0048,1.6,0.0,1.6
DISKBSIZE,T0048,12.5,0.0,12.5
DISKBUSY,T0049,0.4,0.0,0.6
DISKREAD,T0049,33.6,0.0,33.6
DISKWRITE,T0049,43.2,0.0,43.2
DISKXFER,T0049,3.2,0.0,3.2
DISKBSIZE,T0049,24.0,0.0,24.0
DISKBUSY,T0050,0.4,0.0,0.2
DISKREAD,T0050,0.0,0.0,0.0
DISKWRITE,T0050,26.4,0.0,26.4
DISKXFER,T0050,2.4,0.0,2.4
DISKBSIZE,T0050,11.0,0.0,11.0
DISKBUSY,T0051,0.8,0.0,0.8
DISKREAD,T0051,0.0,0.0,0.0
DISKWRITE,T0051,112.8,0.0,112.8
DISKXFER,T0051,6.0,0.0,6.0
DISKBSIZE,T0051,18.8,0.0,18.8
DISKBUSY,T0052,0.0,0.0,0.0
DISKREAD,T0052,0.0,0.0,0.0
DISKWRITE,T0052,7.2,0.0,7.2
DISKXFER,T0052,0.8,0.0,0.8
DISKBSIZE,T0052,9.0,0.0,9.0
DISKBUSY,T0053,0.8,0.0,1.0
DISKREAD,T0053,0.0,0.0,0.0
DISKWRITE,T0053,23.2,0.0,23.2
DISKXFER,T0053,4.4,0.0,4.4
DISKBSIZE,T0053,5.3,0.0,5.3
DISKBUSY,T0054,0.0,0.0,0.0
DISKREAD,T0054,0.0,0.0,0.0
DISKWRITE,T0054,3.2,0.0,3.2
DISKXFER,T0054,0.4,0.0,0.4
DISKBSIZE,T0054,8.0,0.0,8.0
DISKBUSY,T0055,0.2,0.0,0.0
DISKREAD,T0055,0.0,0.0,0.0
DISKWRITE,T0055,8.0,0.0,8.0
DISKXFER,T0055,1.6,0.0,1.6
DISKBSIZE,T0055,5.0,0.0,5.0
DISKBUSY,T0056,0.4,0.0,0.4
DISKREAD,T0056,0.0,0.0,0.0
DISKWRITE,T0056,32.0,0.0,32.0
DISKXFER,T0056,3.0,0.0,3.0
DISKBSIZE,T0056,10.7,0.0,10.7
DISKBUSY,T0057,8.8,0.0,9.2
DISKREAD,T0057,955.8,0.0,955.8
DISKWRITE,T0057,170.4,0.0,170.4
DISKXFER,T0057,150.0,0.0,150.0
DISKBSIZE,T0057,7.5,0.0,7.5
DISKBUSY,T0058,1.8,0.0,2.4
DISKREAD,T0058,174.4,0.0,174.4
DISKWRITE,T0058,120.8,0.0,120.8
DISKXFER,T0058,13.0,0.0,13.0
DISKBSIZE,T0058,22.7,0.0,22.7
DISKBUSY,T0059,0.2,0.0,0.2
DISKREAD,T0059,0.0,0.0,0.0
DISKWRITE,T0059,29.6,0.0,29.6
DISKXFER,T0059,1.8,0.0,1.8
DISKBSIZE,T0059,16.4,0.0,16.4
DISKBUSY,T0060,0.6,0.0,0.4
DISKREAD,T0060,12.8,0.0,12.8
DISKWRITE,T0060,25.6,0.0,25.6
DISKXFER,T0060,5.0,0.0,5.0
DISKBSIZE,T0060,7.7,0.0,7.7
