DISKBUSY,Disk %Busy raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
DISKREAD,Disk Read KB/s raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
DISKWRITE,Disk Write KB/s raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
DISKXFER,Disk transfers per second raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
DISKBSIZE,Disk Block Size raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
DISKBSIZE,T0025,18.7,0.0,18.7
DISKBUSY,T0026,0.0,0.0,0.0
DISKREAD,T0026,0.0,0.0,0.0
DISKWRITE,T0026,0.0,0.0,0.0
DISKXFER,T0026,0.0,0.0,0.0
DISKBSIZE,T0026,0.0,0.0,0.0
DISKBUSY,T0027,0.2,0.0,0.0
DISKREAD,T0027,0.0,0.0,0.0
DISKWRITE,T0027,5.6,0.0,5.6
DISKXFER,T0027,0.4,0.0,0.4
DISKBSIZE,T0027,14.0,0.0,14.0
DISKBUSY,T0028,0.4,0.0,0.4
DISKREAD,T0028,0.0,0.0,0.0
DISKWRITE,T0028,32.0,0.0,32.0
DISKXFER,T0028,3.0,0.0,3.0
DISKBSIZE,T0028,10.7,0.0,10.7
DISKBUSY,T0029,2.0,0.0,2.0
DISKREAD,T0029,0.0,0.0,0.0
DISKWRITE,T0029,192.0,0.0,192.0
DISKXFER,T0029,6.4,0.0,6.4
DISKBSIZE,T0029,30.0,0.0,30.0
DISKBUSY,T0030,0.4,0.0,0.4
DISKREAD,T0030,0.0,0.0,0.0
DISKWRITE,T0030,16.0,0.0,16.0
DISKXFER,T0030,2.8,0.0,2.8
DISKBSIZE,T0030,5.7,0.0,5.7
DISKBUSY,T0031,0.0,0.0,0.0
DISKREAD,T0031,0.0,0.0,0.0
DISKWRITE,T0031,3.2,0.0,3.2
DISKXFER,T0031,0.4,0.0,0.4
DISKBSIZE,T0031,8.0,0.0,8.0
DISKBUSY,T0032,0.2,0.0,0.4
DISKREAD,T0032,0.0,0.0,0.0
DISKWRITE,T0032,18.4,0.0,18.4
DISKXFER,T0032,1.0,0.0,1.0
DISKBSIZE,T0032,18.4,0.0,18.4
DISKBUSY,T0033,0.6,0.0,0.4
DISKREAD,T0033,0.0,0.0,0.0
DISKWRITE,T0033,66.4,0.0,66.4
DISKXFER,T0033,3.0,0.0,3.0
DISKBSIZE,T0033,22.1,0.0,22.1
DISKBUSY,T0034,1.0,0.0,1.0
DISKREAD,T0034,0.0,0.0,0.0
DISKWRITE,T0034,48.0,0.0,48.0
DISKXFER,T0034,4.6,0.0,4.6
DISKBSIZE,T0034,10.4,0.0,10.4
DISKBUSY,T0035,1.0,0.0,1.0
DISKREAD,T0035,0.0,0.0,0.0
DISKWRITE,T0035,149.6,0.0,149.6
DISKXFER,T0035,5.4,0.0,5.4
DISKBSIZE,T0035,27.7,0.0,27.7
DISKBUSY,T0036,2.6,0.0,2.6
DISKREAD,T0036,0.0,0.0,0.0
DISKWRITE,T0036,475.9,0.0,475.9
DISKXFER,T0036,12.4,0.0,12.4
DISKBSIZE,T0036,38.4,0.0,38.4
DISKBUSY,T0037,0.0,0.0,0.0
DISKREAD,T0037,0.0,0.0,0.0
DISKWRITE,T0037,11.2,0.0,11.2
DISKXFER,T0037,0.6,0.0,0.6
DISKBSIZE,T0037,18.7,0.0,18.7
DISKBUSY,T0038,0.0,0.0,0.2
DISKREAD,T0038,0.0,0.0,0.0
DISKWRITE,T0038,8.0,0.0,8.0
DISKXFER,T0038,0.4,0.0,0.4
DISKBSIZE,T0038,20.0,0.0,20.0
DISKBUSY,T0039,0.0,0.0,0.0
DISKREAD,T0039,0.0,0.0,0.0
DISKWRITE,T0039,0.0,0.0,0.0
DISKXFER,T0039,0.0,0.0,0.0
DISKBSIZE,T0039,0.0,0.0,0.0
DISKBUSY,T0040,0.2,0.0,0.0
DISKREAD,T0040,0.0,0.0,0.0
DISKWRITE,T0040,10.4,0.0,10.4
DISKXFER,T0040,1.4,0.0,1.4
DISKBSIZE,T0040,7.4,0.0,7.4
DISKBUSY,T0041,0.0,0.0,0.0
DISKREAD,T0041,0.0,0.0,0.0
DISKWRITE,T0041,0.0,0.0,0.0
DISKXFER,T0041,0.0,0.0,0.0
DISKBSIZE,T0041,0.0,0.0,0.0
DISKBUSY,T0042,1.4,0.0,1.4
DISKREAD,T0042,0.0,0.0,0.0
DISKWRITE,T0042,195.2,0.0,195.2
DISKXFER,T0042,9.4,0.0,9.4
DISKBSIZE,T0042,20.8,0.0,20.8
DISKBUSY,T0043,1.0,0.0,1.0
DISKREAD,T0043,0.0,0.0,0.0
DISKWRITE,T0043,84.8,0.0,84.8
DISKXFER,T0043,6.6,0.0,6.6
DISKBSIZE,T0043,12.8,0.0,12.8
DISKBUSY,T0044,0.6,0.0,0.6
DISKREAD,T0044,0.0,0.0,0.0
DISKWRITE,T0044,66.4,0.0,66.4
DISKXFER,T0044,3.6,0.0,3.6
DISKBSIZE,T0044,18.4,0.0,18.4
DISKBUSY,T0045,0.6,0.0,0.6
DISKREAD,T0045,0.0,0.0,0.0
DISKWRITE,T0045,95.2,0.0,95.2
DISKXFER,T0045,3.8,0.0,3.8
DISKBSIZE,T0045,25.1,0.0,25.1
DISKBUSY,T0046,0.0,0.0,0.0
DISKREAD,T0046,0.0,0.0,0.0
DISKWRITE,T0046,0.0,0.0,0.0
DISKXFER,T0046,0.0,0.0,0.0
DISKBSIZE,T0046,0.0,0.0,0.0
DISKBUSY,T0047,1.4,0.0,1.6
DISKREAD,T0047,0.0,0.0,0.0
DISKWRITE,T0047,123.9,0.0,123.9
DISKXFER,T0047,8.4,0.0,8.4
DISKBSIZE,T0047,14.8,0.0,14.8
DISKBUSY,T0048,0.8,0.0,0.8
DISKREAD,T0048,0.0,0.0,0.0
DISKWRITE,T0048,74.3,0.0,74.3
DISKXFER,T0048,6.2,0.0,6.2
DISKBSIZE,T0048,12.0,0.0,12.0
DISKBUSY,T0049,0.8,0.0,0.8
DISKREAD,T0049,0.0,0.0,0.0
DISKWRITE,T0049,99.2,0.0,99.2
DISKXFER,T0049,4.2,0.0,4.2
DISKBSIZE,T0049,23.6,0.0,23.6
DISKBUSY,T0050,0.6,0.0,0.6
DISKREAD,T0050,0.0,0.0,0.0
DISKWRITE,T0050,64.8,0.0,64.8
DISKXFER,T0050,4.6,0.0,4.6
DISKBSIZE,T0050,14.1,0.0,14.1
DISKBUSY,T0051,0.6,0.0,0.6
DISKREAD,T0051,0.0,0.0,0.0
DISKWRITE,T0051,58.4,0.0,58.4
DISKXFER,T0051,4.2,0.0,4.2
DISKBSIZE,T0051,13.9,0.0,13.9
DISKBUSY,T0052,1.0,0.0,1.0
DISKREAD,T0052,0.0,0.0,0.0
DISKWRITE,T0052,116.0,0.0,116.0
DISKXFER,T0052,5.2,0.0,5.2
DISKBSIZE,T0052,22.3,0.0,22.3
DISKBUSY,T0053,0.2,0.0,0.2
DISKREAD,T0053,0.0,0.0,0.0
DISKWRITE,T0053,15.2,0.0,15.2
DISKXFER,T0053,1.0,0.0,1.0
DISKBSIZE,T0053,15.2,0.0,15.2
DISKBUSY,T0054,0.4,0.0,0.6
DISKREAD,T0054,0.0,0.0,0.0
DISKWRITE,T0054,30.4,0.0,30.4
DISKXFER,T0054,3.2,0.0,3.2
DISKBSIZE,T0054,9.5,0.0,9.5
DISKBUSY,T0055,0.2,0.0,0.2
DISKREAD,T0055,0.0,0.0,0.0
DISKWRITE,T0055,24.0,0.0,24.0
DISKXFER,T0055,1.0,0.0,1.0
DISKBSIZE,T0055,24.0,0.0,24.0
DISKBUSY,T0056,0.0,0.0,0.0
DISKREAD,T0056,0.0,0.0,0.0
DISKWRITE,T0056,8.8,0.0,8.8
DISKXFER,T0056,0.4,0.0,0.4
DISKBSIZE,T0056,22.0,0.0,22.0
DISKBUSY,T0057,0.2,0.0,0.0
DISKREAD,T0057,0.0,0.0,0.0
DISKWRITE,T0057,48.0,0.0,48.0
DISKXFER,T0057,0.8,0.0,0.8
DISKBSIZE,T0057,60.0,0.0,60.0
DISKBUSY,T0058,1.8,0.0,2.0
DISKREAD,T0058,0.0,0.0,0.0
DISKWRITE,T0058,236.8,0.0,236.8
DISKXFER,T0058,10.4,0.0,10.4
DISKBSIZE,T0058,22.8,0.0,22.8
DISKBUSY,T0059,0.2,0.0,0.2
DISKREAD,T0059,0.0,0.0,0.0
DISKWRITE,T0059,16.0,0.0,16.0
DISKXFER,T0059,1.6,0.0,1.6
DISKBSIZE,T0059,10.0,0.0,10.0
DISKBUSY,T0060,1.2,0.0,1.2
DISKREAD,T0060,0.0,0.0,0.0
DISKWRITE,T0060,109.6,0.0,109.6
DISKXFER,T0060,7.2,0.0,7.2
DISKBSIZE,T0060,15.2,0.0,15.2
