DISKBUSY,Disk %Busy raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
DISKREAD,Disk Read KB/s raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
DISKWRITE,Disk Write KB/s raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
DISKXFER,Disk transfers per second raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
DISKBSIZE,Disk Block Size raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
DISKBSIZE,T0025,19.0,0.0,19.0
DISKBUSY,T0026,0.2,0.0,0.2
DISKREAD,T0026,0.0,0.0,0.0
DISKWRITE,T0026,12.0,0.0,12.0
DISKXFER,T0026,0.4,0.0,0.4
DISKBSIZE,T0026,30.0,0.0,30.0
DISKBUSY,T0027,0.4,0.0,0.4
DISKREAD,T0027,0.0,0.0,0.0
DISKWRITE,T0027,29.6,0.0,29.6
DISKXFER,T0027,2.8,0.0,2.8
DISKBSIZE,T0027,10.6,0.0,10.6
DISKBUSY,T0028,0.0,0.0,0.0
DISKREAD,T0028,0.0,0.0,0.0
DISKWRITE,T0028,4.8,0.0,4.8
DISKXFER,T0028,0.4,0.0,0.4
DISKBSIZE,T0028,12.0,0.0,12.0
DISKBUSY,T0029,0.0,0.0,0.0
DISKREAD,T0029,0.0,0.0,0.0
DISKWRITE,T0029,0.8,0.0,0.8
DISKXFER,T0029,0.2,0.0,0.2
DISKBSIZE,T0029,4.0,0.0,4.0
DISKBUSY,T0030,1.6,0.0,1.6
DISKREAD,T0030,0.0,0.0,0.0
DISKWRITE,T0030,158.2,0.0,158.2
DISKXFER,T0030,9.0,0.0,9.0
DISKBSIZE,T0030,17.6,0.0,17.6
DISKBUSY,T0031,0.2,0.0,0.2
DISKREAD,T0031,0.0,0.0,0.0
DISKWRITE,T0031,74.4,0.0,74.4
DISKXFER,T0031,0.6,0.0,0.6
DISKBSIZE,T0031,124.0,0.0,124.0
DISKBUSY,T0032,0.2,0.0,0.2
DISKREAD,T0032,0.0,0.0,0.0
DISKWRITE,T0032,20.8,0.0,20.8
DISKXFER,T0032,0.8,0.0,0.8
DISKBSIZE,T0032,26.0,0.0,26.0
DISKBUSY,T0033,0.0,0.0,0.0
DISKREAD,T0033,0.0,0.0,0.0
DISKWRITE,T0033,3.2,0.0,3.2
DISKXFER,T0033,0.4,0.0,0.4
DISKBSIZE,T0033,8.0,0.0,8.0
DISKBUSY,T0034,0.2,0.0,0.2
DISKREAD,T0034,0.0,0.0,0.0
DISKWRITE,T0034,28.0,0.0,28.0
DISKXFER,T0034,1.2,0.0,1.2
DISKBSIZE,T0034,23.3,0.0,23.3
DISKBUSY,T0035,0.2,0.0,0.2
DISKREAD,T0035,0.0,0.0,0.0
DISKWRITE,T0035,25.6,0.0,25.6
DISKXFER,T0035,1.8,0.0,1.8
DISKBSIZE,T0035,14.2,0.0,14.2
DISKBUSY,T0036,0.2,0.0,0.2
DISKREAD,T0036,0.0,0.0,0.0
DISKWRITE,T0036,6.4,0.0,6.4
DISKXFER,T0036,0.4,0.0,0.4
DISKBSIZE,T0036,16.0,0.0,16.0
DISKBUSY,T0037,1.8,0.0,1.8
DISKREAD,T0037,0.0,0.0,0.0
DISKWRITE,T0037,103.1,0.0,103.1
DISKXFER,T0037,6.0,0.0,6.0
DISKBSIZE,T0037,17.2,0.0,17.2
DISKBUSY,T0038,0.2,0.0,0.2
DISKREAD,T0038,0.0,0.0,0.0
DISKWRITE,T0038,14.4,0.0,14.4
DISKXFER,T0038,1.2,0.0,1.2
DISKBSIZE,T0038,12.0,0.0,12.0
DISKBUSY,T0039,0.4,0.0,0.4
DISKREAD,T0039,0.0,0.0,0.0
DISKWRITE,T0039,22.4,0.0,22.4
DISKXFER,T0039,2.0,0.0,2.0
DISKBSIZE,T0039,11.2,0.0,11.2
DISKBUSY,T0040,0.2,0.0,0.2
DISKREAD,T0040,0.0,0.0,0.0
DISKWRITE,T0040,6.4,0.0,6.4
DISKXFER,T0040,0.6,0.0,0.6
DISKBSIZE,T0040,10.7,0.0,10.7
DISKBUSY,T0041,0.0,0.0,0.0
DISKREAD,T0041,0.0,0.0,0.0
DISKWRITE,T0041,3.2,0.0,3.2
DISKXFER,T0041,0.6,0.0,0.6
DISKBSIZE,T0041,5.3,0.0,5.3
DISKBUSY,T0042,0.6,0.0,0.6
DISKREAD,T0042,0.0,0.0,0.0
DISKWRITE,T0042,52.7,0.0,52.7
DISKXFER,T0042,3.8,0.0,3.8
DISKBSIZE,T0042,13.9,0.0,13.9
DISKBUSY,T0043,0.2,0.0,0.2
DISKREAD,T0043,0.0,0.0,0.0
DISKWRITE,T0043,33.5,0.0,33.5
DISKXFER,T0043,1.0,0.0,1.0
DISKBSIZE,T0043,33.6,0.0,33.6
DISKBUSY,T0044,0.2,0.0,0.2
DISKREAD,T0044,0.0,0.0,0.0
DISKWRITE,T0044,9.6,0.0,9.6
DISKXFER,T0044,0.2,0.0,0.2
DISKBSIZE,T0044,48.0,0.0,48.0
DISKBUSY,T0045,2.2,0.0,2.2
DISKREAD,T0045,0.0,0.0,0.0
DISKWRITE,T0045,159.0,0.0,159.0
DISKXFER,T0045,9.0,0.0,9.0
DISKBSIZE,T0045,17.7,0.0,17.7
DISKBUSY,T0046,0.2,0.0,0.2
DISKREAD,T0046,0.0,0.0,0.0
DISKWRITE,T0046,12.0,0.0,12.0
DISKXFER,T0046,1.0,0.0,1.0
DISKBSIZE,T0046,12.0,0.0,12.0
DISKBUSY,T0047,0.0,0.0,0.0
DISKREAD,T0047,0.0,0.0,0.0
DISKWRITE,T0047,2.4,0.0,2.4
DISKXFER,T0047,0.4,0.0,0.4
DISKBSIZE,T0047,6.0,0.0,6.0
DISKBUSY,T0048,0.0,0.0,0.0
DISKREAD,T0048,0.0,0.0,0.0
DISKWRITE,T0048,3.2,0.0,3.2
DISKXFER,T0048,0.4,0.0,0.4
DISKBSIZE,T0048,8.0,0.0,8.0
DISKBUSY,T0049,0.6,0.0,0.6
DISKREAD,T0049,0.0,0.0,0.0
DISKWRITE,T0049,37.6,0.0,37.6
DISKXFER,T0049,4.0,0.0,4.0
DISKBSIZE,T0049,9.4,0.0,9.4
DISKBUSY,T0050,0.0,0.0,0.0
DISKREAD,T0050,0.0,0.0,0.0
DISKWRITE,T0050,21.6,0.0,21.6
DISKXFER,T0050,0.4,0.0,0.4
DISKBSIZE,T0050,54.0,0.0,54.0
DISKBUSY,T0051,0.6,0.0,0.6
DISKREAD,T0051,0.0,0.0,0.0
DISKWRITE,T0051,82.4,0.0,82.4
DISKXFER,T0051,3.2,0.0,3.2
DISKBSIZE,T0051,25.8,0.0,25.8
DISKBUSY,T0052,0.4,0.0,0.4
DISKREAD,T0052,1.6,0.0,1.6
DISKWRITE,T0052,17.6,0.0,17.6
DISKXFER,T0052,3.4,0.0,3.4
DISKBSIZE,T0052,5.6,0.0,5.6
DISKBUSY,T0053,0.0,0.0,0.0
DISKREAD,T0053,0.0,0.0,0.0
DISKWRITE,T0053,3.2,0.0,3.2
DISKXFER,T0053,0.6,0.0,0.6
DISKBSIZE,T0053,5.3,0.0,5.3
DISKBUSY,T0054,0.2,0.0,0.2
DISKREAD,T0054,0.0,0.0,0.0
DISKWRITE,T0054,58.4,0.0,58.4
DISKXFER,T0054,1.2,0.0,1.2
DISKBSIZE,T0054,48.7,0.0,48.7
DISKBUSY,T0055,0.0,0.0,0.0
DISKREAD,T0055,0.0,0.0,0.0
DISKWRITE,T0055,0.0,0.0,0.0
DISKXFER,T0055,0.0,0.0,0.0
DISKBSIZE,T0055,0.0,0.0,0.0
DISKBUSY,T0056,0.4,0.0,0.4
DISKREAD,T0056,0.0,0.0,0.0
DISKWRITE,T0056,33.6,0.0,33.6
DISKXFER,T0056,2.8,0.0,2.8
DISKBSIZE,T0056,12.0,0.0,12.0
DISKBUSY,T0057,0.0,0.0,0.0
DISKREAD,T0057,0.0,0.0,0.0
DISKWRITE,T0057,0.0,0.0,0.0
DISKXFER,T0057,0.0,0.0,0.0
DISKBSIZE,T0057,0.0,0.0,0.0
DISKBUSY,T0058,1.4,0.0,1.4
DISKREAD,T0058,0.0,0.0,0.0
DISKWRITE,T0058,95.2,0.0,95.2
DISKXFER,T0058,3.4,0.0,3.4
DISKBSIZE,T0058,28.0,0.0,28.0
DISKBUSY,T0059,0.4,0.0,0.4
DISKREAD,T0059,0.0,0.0,0.0
DISKWRITE,T0059,19.2,0.0,19.2
DISKXFER,T0059,3.2,0.0,3.2
DISKBSIZE,T0059,6.0,0.0,6.0
DISKBUSY,T0060,0.0,0.0,0.0
DISKREAD,T0060,0.0,0.0,0.0
DISKWRITE,T0060,10.4,0.0,10.4
DISKXFER,T0060,0.4,0.0,0.4
DISKBSIZE,T0060,26.0,0.0,26.0
